TICKET_NMBR,assigned_group
IN10028612,1
IN10028613,1
IN10028614,1
IN10028615,1
IN10028616,0
IN10028617,1
IN10028618,4
IN10028621,1
IN10028622,1
IN10028625,1
IN10028628,2
IN10028629,2
IN10028632,1
IN10028634,1
IN10028635,1
IN10028638,1
IN10028639,1
IN10028640,1
IN10028641,1
IN10028642,1
IN10028643,1
IN10028644,1
IN10028645,1
IN10028646,1
IN10028647,0
IN10028648,2
IN10028649,1
IN10028651,2
IN10028652,1
IN10028654,1
IN10028655,1
IN10028658,2
IN10028659,3
IN10028660,1
IN10028661,1
IN10028662,1
IN10028663,1
IN10028664,2
IN10028665,2
IN10028667,4
IN10028668,1
IN10028669,2
IN10028671,1
IN10028672,1
IN10028673,3
IN10028675,1
IN10028676,2
IN10028677,1
IN10028678,1
IN10028679,1
IN10028680,1
IN10028681,1
IN10028682,2
IN10028683,1
IN10028684,3
IN10028685,1
IN10028686,2
IN10028687,2
IN10028688,1
IN10028692,1
IN10028693,2
IN10028694,1
IN10028695,1
IN10028696,1
IN10028697,1
IN10028698,1
IN10028699,2
IN10028702,1
IN10028703,1
IN10028704,1
IN10028706,1
IN10028707,1
IN10028708,1
IN10028709,1
IN10028711,1
IN10028712,1
IN10028713,1
IN10028714,1
IN10028715,1
IN10028716,1
IN10028718,5
IN10028719,1
IN10028720,1
IN10028721,1
IN10028723,1
IN10028725,1
IN10028726,1
IN10028727,1
IN10028728,1
IN10028729,1
IN10028730,1
IN10028731,1
IN10028732,1
IN10028733,1
IN10028734,1
IN10028735,2
IN10028736,2
IN10028737,0
IN10028738,0
IN10028739,1
IN10028740,2
IN10028741,1
IN10028742,1
IN10028745,1
IN10028746,1
IN10028747,2
IN10028748,2
IN10028749,1
IN10028750,3
IN10028752,2
IN10028753,1
IN10028754,1
IN10028755,1
IN10028756,1
IN10028757,1
IN10028759,1
IN10028760,1
IN10028761,1
IN10028765,2
IN10028766,1
IN10028767,1
IN10028768,1
IN10028769,2
IN10028771,1
IN10028772,1
IN10028773,1
IN10028774,1
IN10028775,1
IN10028776,5
IN10028777,1
IN10028778,1
IN10028780,1
IN10028781,1
IN10028782,1
IN10028783,1
IN10028784,3
IN10028787,2
IN10028788,1
IN10028789,2
IN10028791,1
IN10028792,1
IN10028793,1
IN10028797,1
IN10028798,1
IN10028799,2
IN10028800,1
IN10028801,1
IN10028803,1
IN10028804,2
IN10028805,3
IN10028809,1
IN10028810,1
IN10028811,2
IN10028812,1
IN10028813,1
IN10028814,1
IN10028815,2
IN10028816,1
IN10028818,2
IN10028819,2
IN10028820,1
IN10028821,1
IN10028824,2
IN10028825,1
IN10028826,1
IN10028827,1
IN10028829,1
IN10028830,1
IN10028831,1
IN10028832,1
IN10028833,1
IN10028834,1
IN10028836,2
IN10028838,2
IN10028839,1
IN10028842,1
IN10028843,2
IN10028844,1
IN10028845,1
IN10028846,1
IN10028848,1
IN10028849,1
IN10028850,1
IN10028851,1
IN10028852,1
IN10028853,2
IN10028854,1
IN10028855,2
IN10028856,1
IN10028857,1
IN10028858,2
IN10028859,2
IN10028860,3
IN10028861,1
IN10028862,1
IN10028863,1
IN10028864,1
IN10028865,1
IN10028866,1
IN10028867,1
IN10028868,1
IN10028869,1
IN10028870,1
IN10028872,1
IN10028873,1
IN10028874,1
IN10028875,1
IN10028876,2
IN10028877,1
IN10028879,1
IN10028880,2
IN10028881,1
IN10028882,1
IN10028883,3
IN10028884,1
IN10028887,1
IN10028888,2
IN10028889,1
IN10028890,3
IN10028892,1
IN10028893,2
IN10028894,1
IN10028895,2
IN10028896,1
IN10028897,1
IN10028898,4
IN10028899,1
IN10028900,1
IN10028901,1
IN10028902,1
IN10028904,0
IN10028905,6
IN10028906,1
IN10028907,1
IN10028908,1
IN10028909,1
IN10028910,1
IN10028911,1
IN10028912,1
IN10028913,1
IN10028914,1
IN10028915,1
IN10028916,1
IN10028917,1
IN10028918,3
IN10028919,1
IN10028920,1
IN10028921,1
IN10028922,1
IN10028923,5
IN10028924,2
IN10028925,1
IN10028926,2
IN10028927,2
IN10028928,1
IN10028929,3
IN10028930,2
IN10028931,3
IN10028932,1
IN10028933,1
IN10028935,1
IN10028936,1
IN10028937,1
IN10028938,1
IN10028940,2
IN10028945,1
IN10028946,2
IN10028947,1
IN10028948,1
IN10028949,1
IN10028950,1
IN10028951,1
IN10028952,1
IN10028953,1
IN10028954,1
IN10028955,1
IN10028956,1
IN10028957,1
IN10028958,1
IN10028959,1
IN10028960,2
IN10028961,1
IN10028963,1
IN10028964,2
