TICKET_NMBR,no_of_times_reassigned,STATUS,PRIORITY,BUSINESS_COMPLETION_HRS
IN10028618,4,RESOLVED,Medium,110.0
IN10028628,2,RESOLVED,Low,0.55
IN10028629,2,RESOLVED,Low,152.12
IN10028648,2,RESOLVED,Medium,3.17
IN10028651,2,RESOLVED,Low,3.45
IN10028651,2,RESOLVED,Low,3.45
IN10028658,2,RESOLVED,Low,0.68
IN10028659,3,RESOLVED,Low,1833.9
IN10028664,2,RESOLVED,Low,1.73
IN10028665,2,RESOLVED,Low,3.12
IN10028667,4,RESOLVED,Low,95.85
IN10028669,2,RESOLVED,Low,1.57
IN10028673,3,RESOLVED,Low,343.77
IN10028676,2,RESOLVED,Medium,2.22
IN10028682,2,RESOLVED,Low,231.82
IN10028684,3,RESOLVED,Low,356.78
IN10028686,2,RESOLVED,Low,0.28
IN10028687,2,RESOLVED,High,2.42
IN10028693,2,RESOLVED,Low,6.28
IN10028699,2,RESOLVED,Medium,13.57
IN10028718,5,RESOLVED,Low,1451.05
IN10028735,2,RESOLVED,Low,0.0
IN10028736,2,RESOLVED,Low,0.0
IN10028740,2,RESOLVED,Low,446.8
IN10028747,2,RESOLVED,Low,0.93
IN10028748,2,RESOLVED,Low,44.58
IN10028750,3,RESOLVED,Medium,0.0
IN10028752,2,RESOLVED,Medium,0.0
IN10028765,2,RESOLVED,Low,0.0
IN10028769,2,RESOLVED,Low,84.38
IN10028776,5,RESOLVED,Medium,304.03
IN10028784,3,RESOLVED,Medium,0.0
IN10028787,2,RESOLVED,Medium,1.68
IN10028789,2,RESOLVED,Medium,0.0
IN10028799,2,RESOLVED,Medium,41.07
IN10028804,2,RESOLVED,Low,65.08
IN10028805,3,RESOLVED,Low,1602.78
IN10028811,2,RESOLVED,Low,94.68
IN10028815,2,RESOLVED,Medium,2.57
IN10028818,2,RESOLVED,Low,460.55
IN10028819,2,RESOLVED,Low,38.0
IN10028824,2,RESOLVED,Medium,2.07
IN10028836,2,RESOLVED,Low,0.58
IN10028838,2,RESOLVED,Low,0.57
IN10028843,2,RESOLVED,Medium,4.98
IN10028853,2,RESOLVED,Low,333.57
IN10028855,2,RESOLVED,Low,336.58
IN10028858,2,RESOLVED,Medium,727.32
IN10028859,2,RESOLVED,Low,76.88
IN10028860,3,RESOLVED,Low,26.67
IN10028876,2,RESOLVED,Low,327.72
IN10028880,2,RESOLVED,Low,405.37
IN10028883,3,RESOLVED,Low,570.85
IN10028888,2,RESOLVED,Low,32.35
IN10028890,3,RESOLVED,Low,368.02
IN10028893,2,RESOLVED,Low,432.73
IN10028895,2,RESOLVED,Medium,23.74
IN10028898,4,RESOLVED,Low,19.29
IN10028905,6,RESOLVED,Low,402.6
IN10028918,3,RESOLVED,Low,329.05
IN10028923,5,RESOLVED,Low,1434.53
IN10028924,2,RESOLVED,Low,77.38
IN10028926,2,RESOLVED,Low,10.47
IN10028927,2,RESOLVED,Low,1639.34
IN10028929,3,RESOLVED,Low,13.13
IN10028930,2,RESOLVED,Medium,0.73
IN10028931,3,RESOLVED,Low,1430.94
IN10028940,2,RESOLVED,Low,0.0
IN10028946,2,RESOLVED,Low,0.0
IN10028960,2,RESOLVED,Low,747.55
IN10028964,2,RESOLVED,Low,41.74
IN10028973,2,RESOLVED,Low,2.45
IN10028977,3,RESOLVED,Low,56.22
IN10028987,2,RESOLVED,Low,15.62
IN10028997,4,RESOLVED,Low,392.23
IN10028998,5,RESOLVED,Low,1421.02
IN10029002,2,RESOLVED,Low,8.37
IN10029004,2,RESOLVED,Medium,0.55
IN10029009,2,RESOLVED,Low,76.8
IN10029011,2,RESOLVED,Low,31.9
IN10029018,2,RESOLVED,Low,1512.56
IN10029020,5,RESOLVED,Low,561.53
IN10029025,2,RESOLVED,Medium,11.28
IN10029073,2,RESOLVED,Medium,13.23
IN10029088,4,RESOLVED,Low,728.73
IN10029091,2,RESOLVED,Medium,12.57
IN10029093,5,RESOLVED,Low,1189.77
IN10029096,2,RESOLVED,Low,2.83
IN10029098,2,RESOLVED,Medium,2.82
IN10029104,3,RESOLVED,Low,431.65
IN10029105,2,RESOLVED,Low,41.37
IN10029106,3,RESOLVED,Low,1358.04
IN10029108,2,RESOLVED,Medium,2.03
IN10029109,3,RESOLVED,Low,6.71
IN10029110,2,RESOLVED,Low,2.22
IN10029112,2,RESOLVED,Low,7.64
IN10029113,2,RESOLVED,Low,238.38
IN10029118,2,RESOLVED,Medium,1.18
IN10029119,2,RESOLVED,Low,1358.4
IN10029122,2,RESOLVED,Low,36.67
IN10029123,2,RESOLVED,Medium,6.19
IN10029128,4,RESOLVED,Medium,37.85
IN10029130,2,RESOLVED,Low,35.76
IN10029135,2,RESOLVED,Low,30.9
IN10029139,3,RESOLVED,Low,1.43
IN10029147,3,RESOLVED,Low,28.83
IN10029148,3,RESOLVED,Low,50.77
IN10029152,2,RESOLVED,Low,202.05
IN10029155,5,RESOLVED,Medium,1303.55
IN10029156,2,RESOLVED,Low,25.57
IN10029157,2,RESOLVED,Low,376.83
IN10029158,3,RESOLVED,Low,350.98
IN10029163,7,RESOLVED,Low,391.6
IN10029164,3,RESOLVED,Low,672.05
IN10029165,5,RESOLVED,Low,2072.97
IN10029167,3,RESOLVED,Low,301.12
IN10029177,3,RESOLVED,Low,1307.2
IN10029185,4,RESOLVED,Low,1405.88
IN10029193,3,RESOLVED,Low,13.92
IN10029195,2,RESOLVED,Low,1.88
IN10029196,2,RESOLVED,Low,146.3
IN10029200,2,RESOLVED,Low,4.36
IN10029201,4,RESOLVED,Low,435.29
IN10029205,2,RESOLVED,Low,0.0
IN10029210,2,RESOLVED,Medium,224.37
IN10029212,2,RESOLVED,Low,0.0
IN10029213,2,RESOLVED,Medium,0.0
IN10029214,2,RESOLVED,Low,0.0
IN10029215,3,RESOLVED,Low,1962.92
IN10029218,2,RESOLVED,Low,283.25
IN10029219,2,,Low,0.0
IN10029220,3,RESOLVED,Low,75.78
IN10029222,2,RESOLVED,Low,2.17
IN10029223,2,RESOLVED,Low,51.7
IN10029224,2,RESOLVED,Low,162.2
IN10029227,2,RESOLVED,Low,112.13
IN10029228,2,RESOLVED,Low,0.0
IN10029231,4,RESOLVED,Medium,0.0
IN10029232,2,RESOLVED,Low,0.0
IN10029233,2,RESOLVED,Medium,0.0
IN10029236,2,RESOLVED,Medium,0.0
IN10029243,3,RESOLVED,Low,50.0
IN10029244,2,RESOLVED,Medium,0.0
IN10029246,2,RESOLVED,Low,284.25
IN10029250,2,RESOLVED,Low,14.2
IN10029256,2,RESOLVED,Low,96.18
IN10029257,3,RESOLVED,Low,74.07
IN10029262,5,RESOLVED,Low,1467.15
IN10029263,2,RESOLVED,Low,7.75
IN10029270,2,RESOLVED,Low,50.0
IN10029271,2,RESOLVED,Low,0.0
IN10029276,2,RESOLVED,Low,302.72
IN10029278,2,RESOLVED,Low,456.47
IN10029279,3,RESOLVED,High,3.58
IN10029282,2,RESOLVED,Medium,3.07
IN10029283,4,RESOLVED,Low,321.09
IN10029292,3,RESOLVED,Low,358.85
IN10029294,2,RESOLVED,Medium,9.52
IN10029296,2,RESOLVED,Low,31.12
IN10029297,2,RESOLVED,Low,2.13
IN10029298,2,RESOLVED,Low,691.88
IN10029301,3,RESOLVED,High,1.86
IN10029304,2,,Low,295.92
IN10029306,2,RESOLVED,Medium,6.32
IN10029313,2,RESOLVED,Low,22.49
IN10029324,2,RESOLVED,Low,1.47
IN10029329,2,RESOLVED,Low,29.95
IN10029334,2,RESOLVED,Low,60.15
IN10029339,2,RESOLVED,Low,1.63
IN10029342,2,RESOLVED,Low,43.69
IN10029343,2,RESOLVED,Low,2.38
IN10029347,2,RESOLVED,Low,1555.03
IN10029349,3,RESOLVED,Low,51.02
IN10029350,2,RESOLVED,Low,0.0
IN10029351,2,RESOLVED,Low,0.0
IN10029352,2,RESOLVED,Medium,8.85
IN10029356,2,RESOLVED,Low,11.73
IN10029358,3,RESOLVED,Low,131.13
IN10029364,2,RESOLVED,Low,132.3
IN10029364,2,RESOLVED,Low,132.3
IN10029367,2,RESOLVED,Low,652.61
IN10029369,3,RESOLVED,Low,6.85
IN10029379,4,RESOLVED,Low,1411.23
IN10029382,2,RESOLVED,Low,10.0
IN10029383,2,RESOLVED,Low,10.53
IN10029384,2,RESOLVED,Low,3.87
IN10029385,7,,Low,2741.98
IN10029388,2,RESOLVED,Low,1.52
IN10029389,2,RESOLVED,Low,24.88
IN10029390,4,RESOLVED,Low,59.11
IN10029394,4,RESOLVED,High,25.68
